package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:11:33.400000000,26,1,L,A,1.0,2.0,927.0,1112.0,219.0,433.0,182.0,0,False,False,0,False,False
0 days 00:11:33.600000000,26,1,L,A,1.0,2.0,973.0,1158.0,221.0,464.0,179.0,0,False,False,0,False,False
0 days 00:11:33.800000000,26,1,L,A,1.0,2.0,976.0,1161.0,221.0,440.0,166.0,0,False,False,0,False,False
0 days 00:11:34.000000000,26,1,L,A,1.0,2.0,986.0,1171.0,222.0,468.0,173.0,0,False,False,0,False,False
0 days 00:11:34.200000000,26,1,L,A,1.0,2.0,967.0,1152.0,221.0,406.0,175.0,0,False,False,0,False,False
0 days 00:11:34.400000000,26,1,L,A,1.0,2.0,921.0,1106.0,218.0,394.0,181.0,0,False,False,0,False,False
0 days 00:11:34.600000000,26,1,L,A,1.0,2.0,952.0,1137.0,220.0,465.0,179.0,0,False,False,0,False,False
0 days 00:11:34.800000000,26,1,L,A,1.0,2.0,963.0,1148.0,221.0,436.0,178.0,0,False,False,0,False,False
0 days 00:11:35.000000000,26,1,L,A,1.0,2.0,897.0,1082.0,217.0,380.0,172.0,0,False,False,0,False,False
0 days 00:11:35.200000000,26,1,L,A,1.0,2.0,866.0,1051.0,215.0,384.0,174.0,0,False,False,0,False,False
0 days 00:11:35.400000000,26,1,L,A,1.0,2.0,864.0,1049.0,215.0,385.0,172.0,0,False,False,0,False,False
0 days 00:11:35.600000000,26,1,L,A,1.0,2.0,841.0,1026.0,214.0,366.0,178.0,0,False,False,0,False,False
0 days 00:11:35.800000000,26,1,L,A,1.0,2.0,858.0,1043.0,215.0,404.0,173.0,0,False,False,0,False,False
0 days 00:11:36.000000000,26,1,L,A,1.0,2.0,938.0,1123.0,220.0,453.0,171.0,0,False,False,0,False,False
0 days 00:11:36.200000000,26,1,L,A,1.0,2.0,934.0,1119.0,220.0,375.0,184.0,0,False,False,0,False,False
0 days 00:11:36.400000000,26,1,L,A,1.0,2.0,890.0,1075.0,217.0,390.0,176.0,0,False,False,0,False,False
0 days 00:11:36.600000000,26,1,L,A,1.0,2.0,915.0,1100.0,218.0,422.0,171.0,0,False,False,0,False,False
0 days 00:11:36.800000000,26,1,L,A,1.0,2.0,927.0,1112.0,219.0,396.0,172.0,0,False,False,0,False,False
0 days 00:11:37.000000000,26,1,L,A,1.0,2.0,941.0,1126.0,220.0,437.0,179.0,0,False,False,0,False,False
0 days 00:11:37.200000000,26,1,L,A,1.0,2.0,1000.0,1185.0,224.0,477.0,171.0,0,False,False,0,False,False
