package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:42.800000000,26,1,R,C,1.0,2.0,995.0,1476.0,280.0,457.0,181.0,0,False,False,0,False,False
0 days 00:02:43.000000000,26,1,R,C,1.0,2.0,1000.0,1481.0,280.0,452.0,176.0,0,False,False,0,False,False
0 days 00:02:43.200000000,26,1,R,C,1.0,2.0,1004.0,1485.0,280.0,455.0,173.0,0,False,False,0,False,False
0 days 00:02:43.400000000,26,1,R,C,1.0,2.0,971.0,1452.0,278.0,419.0,179.0,0,False,False,0,False,False
0 days 00:02:43.600000000,26,1,R,C,1.0,2.0,951.0,1432.0,276.0,427.0,187.0,0,False,False,0,False,False
0 days 00:02:43.800000000,26,1,R,C,1.0,2.0,1000.0,1481.0,279.0,468.0,175.0,0,False,False,0,False,False
0 days 00:02:44.000000000,26,1,R,C,1.0,2.0,1017.0,1498.0,280.0,438.0,171.0,0,False,False,0,False,False
0 days 00:02:44.200000000,26,1,R,C,1.0,2.0,986.0,1467.0,279.0,457.0,179.0,0,False,False,0,False,False
0 days 00:02:44.400000000,26,1,R,C,1.0,2.0,988.0,1469.0,278.0,450.0,174.0,0,False,False,0,False,False
0 days 00:02:44.600000000,26,1,R,C,1.0,2.0,991.0,1472.0,279.0,442.0,178.0,0,False,False,0,False,False
0 days 00:02:44.800000000,26,1,R,C,1.0,2.0,974.0,1455.0,278.0,429.0,184.0,0,False,False,0,False,False
0 days 00:02:45.000000000,26,1,R,C,1.0,2.0,939.0,1420.0,276.0,412.0,182.0,0,False,False,0,False,False
0 days 00:02:45.200000000,26,1,R,C,1.0,2.0,932.0,1413.0,276.0,425.0,178.0,0,False,False,0,False,False
0 days 00:02:45.400000000,26,1,R,C,1.0,2.0,939.0,1420.0,277.0,422.0,181.0,0,False,False,0,False,False
0 days 00:02:45.600000000,26,1,R,C,1.0,2.0,950.0,1431.0,277.0,431.0,180.0,0,False,False,0,False,False
0 days 00:02:45.800000000,26,1,R,C,1.0,2.0,975.0,1456.0,279.0,430.0,185.0,0,False,False,0,False,False
0 days 00:02:46.000000000,26,1,R,C,1.0,2.0,974.0,1455.0,279.0,425.0,170.0,0,False,False,0,False,False
0 days 00:02:46.200000000,26,1,R,C,1.0,2.0,983.0,1464.0,278.0,452.0,181.0,0,False,False,0,False,False
0 days 00:02:46.400000000,26,1,R,C,1.0,2.0,1029.0,1510.0,280.0,485.0,175.0,0,False,False,0,False,False
0 days 00:02:46.600000000,26,1,R,C,1.0,2.0,995.0,1476.0,279.0,403.0,175.0,0,False,False,0,False,False
0 days 00:02:46.800000000,26,1,R,C,1.0,2.0,945.0,1426.0,276.0,438.0,183.0,0,False,False,0,False,False
0 days 00:02:47.000000000,26,1,R,C,1.0,2.0,962.0,1443.0,277.0,412.0,189.0,0,False,False,0,False,False
0 days 00:02:47.200000000,26,1,R,C,1.0,2.0,964.0,1445.0,278.0,420.0,182.0,0,False,False,0,False,False
0 days 00:02:47.400000000,26,1,R,C,1.0,2.0,952.0,1433.0,277.0,418.0,184.0,0,False,False,0,False,False
0 days 00:02:47.600000000,26,1,R,C,1.0,2.0,958.0,1439.0,277.0,435.0,182.0,0,False,False,0,False,False
0 days 00:02:47.800000000,26,1,R,C,1.0,2.0,962.0,1443.0,278.0,417.0,185.0,0,False,False,0,False,False
0 days 00:02:48.000000000,26,1,R,C,1.0,2.0,976.0,1457.0,279.0,466.0,181.0,0,False,False,0,False,False
0 days 00:02:48.200000000,26,1,R,C,1.0,2.0,1013.0,1494.0,280.0,478.0,179.0,0,False,False,0,False,False
