package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:32.800000000,26,1,R,B,1.0,2.0,731.0,1091.0,-133.0,355.0,181.0,0,False,False,0,False,False
0 days 00:02:33.000000000,26,1,R,B,1.0,2.0,697.0,1057.0,-135.0,334.0,173.0,0,False,False,0,False,False
0 days 00:02:33.200000000,26,1,R,B,1.0,2.0,680.0,1040.0,-137.0,329.0,177.0,0,False,False,0,False,False
0 days 00:02:33.400000000,26,1,R,B,1.0,2.0,729.0,1089.0,-134.0,383.0,187.0,0,False,False,0,False,False
0 days 00:02:33.600000000,26,1,R,B,1.0,2.0,759.0,1119.0,-131.0,365.0,178.0,0,False,False,0,False,False
0 days 00:02:33.800000000,26,1,R,B,1.0,2.0,711.0,1071.0,-135.0,333.0,183.0,0,False,False,0,False,False
0 days 00:02:34.000000000,26,1,R,B,1.0,2.0,703.0,1063.0,-136.0,350.0,175.0,0,False,False,0,False,False
0 days 00:02:34.200000000,26,1,R,B,1.0,2.0,753.0,1113.0,-132.0,391.0,179.0,0,False,False,0,False,False
0 days 00:02:34.400000000,26,1,R,B,1.0,2.0,810.0,1170.0,-128.0,412.0,191.0,0,False,False,0,False,False
0 days 00:02:34.600000000,26,1,R,B,1.0,2.0,871.0,1231.0,-124.0,463.0,175.0,0,False,False,0,False,False
0 days 00:02:34.800000000,26,1,R,B,1.0,2.0,890.0,1250.0,-123.0,447.0,188.0,0,False,False,0,False,False
0 days 00:02:35.000000000,26,1,R,B,1.0,2.0,849.0,1209.0,-126.0,411.0,175.0,0,False,False,0,False,False
0 days 00:02:35.200000000,26,1,R,B,1.0,2.0,795.0,1155.0,-130.0,368.0,182.0,0,False,False,0,False,False
0 days 00:02:35.400000000,26,1,R,B,1.0,2.0,737.0,1097.0,-133.0,348.0,178.0,0,False,False,0,False,False
0 days 00:02:35.600000000,26,1,R,B,1.0,2.0,698.0,1058.0,-135.0,345.0,182.0,0,False,False,0,False,False
0 days 00:02:35.800000000,26,1,R,B,1.0,2.0,707.0,1067.0,-135.0,358.0,178.0,0,False,False,0,False,False
0 days 00:02:36.000000000,26,1,R,B,1.0,2.0,743.0,1103.0,-132.0,393.0,173.0,0,False,False,0,False,False
0 days 00:02:36.200000000,26,1,R,B,1.0,2.0,717.0,1077.0,-134.0,334.0,174.0,0,False,False,0,False,False
0 days 00:02:36.400000000,26,1,R,B,1.0,2.0,705.0,1065.0,-135.0,368.0,180.0,0,False,False,0,False,False
0 days 00:02:36.600000000,26,1,R,B,1.0,2.0,785.0,1145.0,-130.0,429.0,182.0,0,False,False,0,False,False
0 days 00:02:36.800000000,26,1,R,B,1.0,2.0,825.0,1185.0,-127.0,414.0,174.0,0,False,False,0,False,False
0 days 00:02:37.000000000,26,1,R,B,1.0,2.0,820.0,1180.0,-127.0,416.0,184.0,0,False,False,0,False,False
0 days 00:02:37.200000000,26,1,R,B,1.0,2.0,845.0,1205.0,-125.0,436.0,182.0,0,False,False,0,False,False
0 days 00:02:37.400000000,26,1,R,B,1.0,2.0,851.0,1211.0,-125.0,409.0,183.0,0,False,False,0,False,False
0 days 00:02:37.600000000,26,1,R,B,1.0,2.0,810.0,1170.0,-128.0,390.0,182.0,0,False,False,0,False,False
0 days 00:02:37.800000000,26,1,R,B,1.0,2.0,788.0,1148.0,-130.0,385.0,184.0,0,False,False,0,False,False
0 days 00:02:38.000000000,26,1,R,B,1.0,2.0,758.0,1118.0,-132.0,360.0,172.0,0,False,False,0,False,False
0 days 00:02:38.200000000,26,1,R,B,1.0,2.0,714.0,1074.0,-135.0,351.0,184.0,0,False,False,0,False,False
0 days 00:02:38.400000000,26,1,R,B,1.0,2.0,729.0,1089.0,-134.0,361.0,174.0,0,False,False,0,False,False
0 days 00:02:38.600000000,26,1,R,B,1.0,2.0,745.0,1105.0,-133.0,361.0,182.0,0,False,False,0,False,False
0 days 00:02:38.800000000,26,1,R,B,1.0,2.0,725.0,1085.0,-134.0,354.0,182.0,0,False,False,0,False,False
0 days 00:02:39.000000000,26,1,R,B,1.0,2.0,715.0,1075.0,-135.0,355.0,183.0,0,False,False,0,False,False
0 days 00:02:39.200000000,26,1,R,B,1.0,2.0,747.0,1107.0,-132.0,392.0,177.0,0,False,False,0,False,False
0 days 00:02:39.400000000,26,1,R,B,1.0,2.0,810.0,1170.0,-128.0,416.0,182.0,0,False,False,0,False,False
0 days 00:02:39.600000000,26,1,R,B,1.0,2.0,862.0,1222.0,-125.0,447.0,181.0,0,False,False,0,False,False
0 days 00:02:39.800000000,26,1,R,B,1.0,2.0,897.0,1257.0,-122.0,451.0,183.0,0,False,False,0,False,False
0 days 00:02:40.000000000,26,1,R,B,1.0,2.0,872.0,1232.0,-123.0,411.0,176.0,0,False,False,0,False,False
0 days 00:02:40.200000000,26,1,R,B,1.0,2.0,795.0,1155.0,-129.0,366.0,176.0,0,False,False,0,False,False
0 days 00:02:40.400000000,26,1,R,B,1.0,2.0,714.0,1074.0,-134.0,336.0,183.0,0,False,False,0,False,False
0 days 00:02:40.600000000,26,1,R,B,1.0,2.0,688.0,1048.0,-136.0,342.0,165.0,0,False,False,0,False,False
0 days 00:02:40.800000000,26,1,R,B,1.0,2.0,704.0,1064.0,-136.0,360.0,179.0,0,False,False,0,False,False
0 days 00:02:41.000000000,26,1,R,B,1.0,2.0,745.0,1105.0,-133.0,392.0,184.0,0,False,False,0,False,False
0 days 00:02:41.200000000,26,1,R,B,1.0,2.0,732.0,1092.0,-133.0,340.0,176.0,0,False,False,0,False,False
0 days 00:02:41.400000000,26,1,R,B,1.0,2.0,699.0,1059.0,-136.0,349.0,181.0,0,False,False,0,False,False
0 days 00:02:41.600000000,26,1,R,B,1.0,2.0,756.0,1116.0,-132.0,391.0,181.0,0,False,False,0,False,False
